item,itemLabel,position,positionLabel,startDate,endDate
Q23928873,Clément Mouamba,,Premier ministre,,
Q5715430,Henri Djombo,,"Ministre de l'Agriculture, de l'Élevage et de la Pêche",,
Q5561139,Gilbert Ondongo,,"Ministre de l’Économie, du Développement industriel, de la Promotion du secteur privé",,
Q5128679,Claude Alphonse Nsilou,,"Ministre de la Construction, de l'Urbanisme, de la Ville et du Cadre de vie",,
Q7299001,Raymond Zéphirin Mboulou,,"Ministre de l'Intérieur, de la Décentralisation et du Développement local",,
Q3386464,Pierre Oba,,Ministre des Mines et de la Géologie,,
Q6169352,Jean-Jacques Bouya,,Ministre de l'Aménagement du territoire et des Grands travaux,,
Q26689539,Jean-Marc Thystère-Tchicaya,,Ministre des Hydrocarbures,,
Q15046890,Jean-Claude Gakosso,,"Ministre des Affaires étrangères, de la Coopération et des Congolais de l'étranger",,
Q5082018,Charles Richard Mondjo,,Ministre de la Défense nationale,,
Q5409443,Euloge Landry Kolélas,,Ministre du Commerce extérieure et de la Consommation,,
Q24147892,Émile Ouosso,,Ministre du Travail et de la Sécurité sociale,,
Q24150698,Calixte Ganongo,,"Ministre des Finances, du Budget et du Porte-feuille publique",,
Q19819308,Thierry Moungalla,,"Ministre de la Communication et des Médias, Porte-parole du gouvernement",,
Q33026718,Gilbert Mokoki,,"Ministre des Transports, de l'Aviation civile et de la Marine marchande",,
Q4979263,Bruno Itoua,,Ministre de l'Enseignement supérieur,,
Q5708967,Hellot Matson Mampouya,,Ministre de la Recherche scientifique et de l'Innovation technologique,,
Q7192339,Pierre Mabiala,,"Ministre de la Justice, des Droits humains et de la Promotion des peuples autochtones",,
Q4686987,Yvonne-Adélaïde Mougany,,"Ministre des Petites et moyennes entreprises, de l'Artisanat et du Secteur informel",,
Q26266432,Serge Blaise Zoniaba,,Ministre de l’Énergie et de l'Hydraulique,,
,Léon-Alfred Opimbat,,Ministre des Sports et de l’Éducation physique,,
Q4752077,Anatole Collinet Makosso,,"Ministre de l'Enseignement primaire, secondaire et de l'Alphabétisation",,
Q3295579,Martin Parfait Aimé Coussoud-Mavoungou,,Ministre des Affaires foncières et du Domaine public,,
Q55807584,Josué Rodrigue Ngouonimba,,Ministre de l’Équipement et de l'Entretien routier,,
,Alain Akouala Atipault,,Ministre des Zones économiques spéciales,,
Q57464277,Nicéphore Fylla de Saint-Eudes,,"Ministre de l'Enseignement technique et professionnel, de la Formation qualifiante et de l'Emploi",,
Q24176158,Rosalie Matondo,,"Ministre de l'Économie forestière, du Développement durable et de l'Environnement",,
Q50379869,Ange Aimé Bininga,,Ministre de la Fonction publique et de la Réforme de l’État,,
Q24175564,Jacqueline Lydia Mikolo,,Ministre de la Santé et de la Population,,
Q40770924,Léon Juste Ibombo,,Ministre des Postes et des Télécommunications,,
Q26237842,Ingrid Ebouka-Babackas,,"Ministre du Plan, de la Statistique et de l'Intégration régionale",,
Q26254130,Arlette Soudan-Nonault,,Ministre du Tourisme et des Loisirs,,
Q24158913,Léonidas Mottom,,Ministre de la Culture et des Arts,,
Q61415246,Antoinette Dinga-Dzondo,,"Ministre des Affaires sociales, de l'Action humanitaire et de la Solidarité",,
Q61600532,Inès Nefer Ingani,,Ministre de la Promotion de la Femme et de l'Intégration de la femme au développement,,
Q48778190,Destinée Doukaga,,Ministre de la Jeunesse et de l’Éducation civique,,
,Digne Elvis Tsalissan,,"Ministre délégué auprès du Premier ministre, chargé des Relations avec le parlement",,
,Benoît Baty,,"Ministre délégué auprès du Premier ministre, chargé de l’Économie numérique et de la Prospective",,
Q57069711,Charles Nganfouomo,,"Ministre délégué auprès du Ministre de l'Intérieur, de la Décentralisation et du Développement local,chargé de la Décentralisation et du Développement local",,
