@@,item,itemlabel,position,positionlabel,startdate,enddate,psid
->,Q33026718,Gilbert Mokoki,Q112320723,"Minister of Transport->Ministre des Transports, de l'Aviation civile et de la Marine marchande",2016-04-30,2017-08-22,Q33026718-B06EF737-7ED5-43C8-ABAA-CB7A4D50D039
->,Q3295579,Martin Parfait Aimé Coussoud-Mavoungou,Q112320690,Minister of Land->Ministre des Affaires foncières et du Domaine public,2016-04-30,2017-08-22,Q3295579-26B76600-598C-4E47-B5D3-EEE4BA2DA9AA
->,Q26689539,Jean-Marc Thystère-Tchicaya,Q112320678,Minister of Hydrocarbons->Ministre des Hydrocarbures,2015-08-11,2021-05-15,Q26689539-F6D3A606-1204-4577-AD0D-6CECE1AF5F47
->,Q26266432,Serge Blaise Zoniaba,Q112320671,Minister of Energy->Ministre de l’Énergie et de l'Hydraulique,2016-04-30,2021-05-15,Q26266432-5D909BE0-28F3-4DBE-BCA8-BC0205441449
->,Q26254130,Arlette Soudan-Nonault,Q112320720,Minister of Tourism->Ministre du Tourisme et des Loisirs,2016-04-30,2017-08-22,Q26254130-C94DB82F-5213-44F2-B86C-7C4490C5F74E
->,Q26237842,Ingrid Ebouka-Babackas,Q112320696,"Minister of Planning->Ministre du Plan, de la Statistique et de l'Intégration régionale",2016-04-30,2017-08-22,Q26237842-AF1C13F6-9153-47F6-9CE4-04668CD8BD9C
->,Q24176158,Rosalie Matondo,Q112320715,"Minister of Sustainable Development->Ministre de l'Économie forestière, du Développement durable et de l'Environnement",2016-04-30,2017-08-22,Q24176158-D3563E72-313C-4E1A-BFC4-7341B901BD2D
->,Q24175564,Jacqueline Lydia Mikolo,Q98966140,Health minister of the Republic of the Congo->Ministre de la Santé et de la Population,2016-04-30,2017-08-22,Q24175564-2D512EE4-BE11-4277-8FA5-23BD99CAE30C
->,Q24158913,Léonidas Mottom,Q112315782,Minister of Culture and Arts->Ministre de la Culture et des Arts,2016-04-30,2017-08-22,Q24158913-88BE197A-DF01-472C-BDD3-B86C9D668990
->,Q24150698,Calixte Ganongo,Q112320673,"Minister of Finance->Ministre des Finances, du Budget et du Porte-feuille publique",2016-04-30,2017-08-22,Q24150698-C650404B-B98F-44FE-99B0-14CA54495158
->,Q24147892,Emile Ouosso->Émile Ouosso,Q112320689,Minister of Labour->Ministre du Travail et de la Sécurité sociale,2016-04-30,2017-08-22,Q24147892-A268ADDB-112B-4C37-80E9-DC8E4361F26C
->,Q23928873,Clément Mouamba,Q30101451,Prime Minister of the Republic of the Congo->Premier ministre,2016-04-23,2021-05-12,Q23928873-DA49C837-856E-4F19-9EAF-7E19F6A939AF
->,Q19819308,Thierry Moungalla,Q112320661,"Minister of Communications->Ministre de la Communication et des Médias, Porte-parole du gouvernement",2015-08-11,,Q19819308-2F9EBD1C-A8E8-4EC2-A122-F27ED7DD25E9
->,Q15046890,Jean-Claude Gakosso,Q18204385,"Minister of Foreign Affairs of the Republic of Congo->Ministre des Affaires étrangères, de la Coopération et des Congolais de l'étranger",2015-08-10,,Q15046890-AFF1695D-CF00-4E72-A6FE-8938CD193B1C
---,Q57418,Denis Sassou-Nguesso,Q10353660,President of the Republic of the Congo,1997-10-25,,Q57418-72740888-9C7D-4811-B6A6-DCD7827507B5
---,Q5493295,François Ibovi,Q98966140,Health minister of the Republic of the Congo,2012-09-25,2016-05-06,Q5493295-ba502fa7-4570-88d4-db08-731426da6d55
+++,Q57069711,Charles Nganfouomo,,"Ministre délégué auprès du Ministre de l'Intérieur, de la Décentralisation et du Développement local,chargé de la Décentralisation et du Développement local",,,
+++,,Benoît Baty,,"Ministre délégué auprès du Premier ministre, chargé de l’Économie numérique et de la Prospective",,,
+++,,Digne Elvis Tsalissan,,"Ministre délégué auprès du Premier ministre, chargé des Relations avec le parlement",,,
