@@,item,itemlabel,position,positionlabel,startdate,enddate,psid
->,Q7299001,Raymond Mboulou->Raymond Zéphirin Mboulou,Q112320686,"Minister of Interior->Ministre de l'Intérieur, de la Décentralisation et du Développement local",2016-04-30,2017-08-22,Q7299001-DAE7A531-E8B4-460D-81EB-9C12F42ADD3B
->,Q7192339,Pierre Mabiala,Q112320688,"Minister of Justice->Ministre de la Justice, des Droits humains et de la Promotion des peuples autochtones",2016-04-30,2017-08-22,Q7192339-64C8C0E1-985B-4462-9826-956029B1DA46
->,Q6711024,Léon-Alfred Opimbat,Q112320713,Minister of Sports->Ministre des Sports et de l’Éducation physique,2011-08-17,2017-08-22,Q6711024-4FE462E4-FFCD-4EC2-B4D7-D39F9C4B3CFC
->,Q6169352,Jean-Jacques Bouya,Q112320702,Minister of Regional Planning->Ministre de l'Aménagement du territoire et des Grands travaux,2012-09-25,2021-05-04,Q6169352-554AEABB-EA91-4A4E-8991-9E7BA93B9AA9
->,Q61600532,Inès Nefer Ingani,Q112320727,Minister of Women->Ministre de la Promotion de la Femme et de l'Intégration de la femme au développement,2016-04-30,2019-09,Q61600532-2B2FED27-9B59-4DBF-8571-E8473C792893
->,Q61415246,Antoinette Dinga-Dzondo,Q112320708,"Minister of Social Affairs->Ministre des Affaires sociales, de l'Action humanitaire et de la Solidarité",2016-04-30,2021-05-15,Q61415246-185F4A2D-AE10-487F-819F-A275131FA60B
->,Q57464277,Nicéphore Fylla de Saint-Eudes,Q112581688,"Minister of Vocational Training and Employment->Ministre de l'Enseignement technique et professionnel, de la Formation qualifiante et de l'Emploi",2016-04-30,2021-05-15,Q57464277-B3CADC4D-23D1-4A44-AEE6-AD703FE1B0DC
->,Q5715430,Henri Djombo,Q112320656,"Minister of Agriculture->Ministre de l'Agriculture, de l'Élevage et de la Pêche",2016-04-30,2021-05-15,Q5715430-DF33ABB6-8740-4EC6-BF4B-6B2F1BED7C04
->,Q5708967,Hellot Matson Mampouya,Q112320703,Minister of Scientific Research->Ministre de la Recherche scientifique et de l'Innovation technologique,2016-04-30,2017-08-22,Q5708967-18C7B7A0-FE69-441C-AF0B-A983D6458548
->,Q55807584,Josué Rodrigue Ngouonimba,Q112320672,Minister of Equipment->Ministre de l’Équipement et de l'Entretien routier,2016-04-30,2017-08-22,Q55807584-D4EC3B16-AA88-40EA-A4F9-999860BDE2AF
->,Q5561139,Gilbert Ondongo,Q112320668,"Minister of Economy->Ministre de l’Économie, du Développement industriel, de la Promotion du secteur privé",2016-04-30,2017-08-22,Q5561139-52675485-7C8F-4ED9-B16E-B48C464AC3D7
->,Q5409443,Euloge Landry Kolélas,Q112320660,Minister of Commerce->Ministre du Commerce extérieure et de la Consommation,2015-08-11,2017-08-22,Q5409443-AA6C2D16-AACD-4ABB-AA26-1D3E68B55166
->,Q5128679,Claude Alphonse Nsilou,Q112320662,"Minister of Construction->Ministre de la Construction, de l'Urbanisme, de la Ville et du Cadre de vie",2002-08-18,2017-08-22,Q5128679-005E4325-67BC-4663-945D-58EA023CCA79
->,Q5082018,Charles Richard Mondjo,Q112320695,Minister of National Defence->Ministre de la Défense nationale,2012-09-25,,Q5082018-76A79DDA-D4BF-4136-852D-F0E70F849D8E
->,Q50379869,Aimé Ange Wilfrid Bininga->Ange Aimé Bininga,Q112320658,Minister of Civil Service->Ministre de la Fonction publique et de la Réforme de l’État,2016-04-30,2017-08-22,Q50379869-E0725CDA-A1AA-4DCB-AD0C-05BC87D9D793
->,Q4979263,Bruno Itoua,Q112320677,Minister of Higher Education->Ministre de l'Enseignement supérieur,2016-04-30,2021-05-15,Q4979263-562799E0-D5EC-4DB8-ADD2-182B12C3A030
->,Q48778190,Destinée Ermela Doukaga->Destinée Doukaga,Q112320657,Minister of Civic Education->Ministre de la Jeunesse et de l’Éducation civique,2016-04-30,2021-05-15,Q48778190-B1BC49C8-8128-43D1-9A67-F9AC1CA781F7
->,Q4752077,Anatole Collinet Makosso,Q112320669,"Minister of Education->Ministre de l'Enseignement primaire, secondaire et de l'Alphabétisation",2015-08-11,2021-05-15,Q4752077-C4EF07FF-3919-49FC-BADF-2E17D236B90C
->,Q4705620,Alain Akouala Atipault,Q112320711,Minister of Special Economic Zones->Ministre des Zones économiques spéciales,2016-04-30,2017-08-22,Q4705620-E61C1FC3-7307-4CED-ABE0-69F245E8B359
->,Q4686987,Adélaïde Moundélé-Ngollo->Yvonne-Adélaïde Mougany,Q112320707,"Minister of Small and Medium Enterprises and Handicrafts->Ministre des Petites et moyennes entreprises, de l'Artisanat et du Secteur informel",2007-12-30,2021-05-15,Q4686987-3A533C50-A061-49DF-93EC-50FEF1F129FE
->,Q40770924,Léon Juste Ibombo,Q112320698,Minister of Posts and Telecommunications->Ministre des Postes et des Télécommunications,2016-04-30,,Q40770924-9CDD3709-0E85-4FDC-B605-13324A15867A
->,Q3386464,Pierre Oba,Q112320693,Minister of Mines->Ministre des Mines et de la Géologie,2005-01-07,,Q3386464-078570BE-196F-4238-8436-3A7031E6632E
