item,itemLabel,position,positionLabel,startDate,endDate,source,sourceDate,psid
Q15046890,Jean-Claude Gakosso,Q18204385,Minister of Foreign Affairs of the Republic of Congo,2015-08-10,,,,Q15046890-AFF1695D-CF00-4E72-A6FE-8938CD193B1C
Q19819308,Thierry Moungalla,Q112320661,Minister of Communications,2015-08-11,,,,Q19819308-2F9EBD1C-A8E8-4EC2-A122-F27ED7DD25E9
Q23928873,Clément Mouamba,Q30101451,Prime Minister of the Republic of the Congo,2016-04-23,2021-05-12,,,Q23928873-DA49C837-856E-4F19-9EAF-7E19F6A939AF
Q24147892,Emile Ouosso,Q112320689,Minister of Labour,2016-04-30,2017-08-22,,,Q24147892-A268ADDB-112B-4C37-80E9-DC8E4361F26C
Q24150698,Calixte Ganongo,Q112320673,Minister of Finance,2016-04-30,2017-08-22,,,Q24150698-C650404B-B98F-44FE-99B0-14CA54495158
Q24158913,Léonidas Mottom,Q112315782,Minister of Culture and Arts,2016-04-30,2017-08-22,,,Q24158913-88BE197A-DF01-472C-BDD3-B86C9D668990
Q24175564,Jacqueline Lydia Mikolo,Q98966140,Health minister of the Republic of the Congo,2016-04-30,2017-08-22,,,Q24175564-2D512EE4-BE11-4277-8FA5-23BD99CAE30C
Q24176158,Rosalie Matondo,Q112320715,Minister of Sustainable Development,2016-04-30,2017-08-22,,,Q24176158-D3563E72-313C-4E1A-BFC4-7341B901BD2D
Q26237842,Ingrid Ebouka-Babackas,Q112320696,Minister of Planning,2016-04-30,2017-08-22,,,Q26237842-AF1C13F6-9153-47F6-9CE4-04668CD8BD9C
Q26254130,Arlette Soudan-Nonault,Q112320720,Minister of Tourism,2016-04-30,2017-08-22,,,Q26254130-C94DB82F-5213-44F2-B86C-7C4490C5F74E
Q26266432,Serge Blaise Zoniaba,Q112320671,Minister of Energy,2016-04-30,2021-05-15,,,Q26266432-5D909BE0-28F3-4DBE-BCA8-BC0205441449
Q26689539,Jean-Marc Thystère-Tchicaya,Q112320678,Minister of Hydrocarbons,2015-08-11,2021-05-15,,,Q26689539-F6D3A606-1204-4577-AD0D-6CECE1AF5F47
Q3295579,Martin Parfait Aimé Coussoud-Mavoungou,Q112320690,Minister of Land,2016-04-30,2017-08-22,,,Q3295579-26B76600-598C-4E47-B5D3-EEE4BA2DA9AA
Q33026718,Gilbert Mokoki,Q112320723,Minister of Transport,2016-04-30,2017-08-22,,,Q33026718-B06EF737-7ED5-43C8-ABAA-CB7A4D50D039
Q3386464,Pierre Oba,Q112320693,Minister of Mines,2005-01-07,,,,Q3386464-078570BE-196F-4238-8436-3A7031E6632E
Q40770924,Léon Juste Ibombo,Q112320698,Minister of Posts and Telecommunications,2016-04-30,,,,Q40770924-9CDD3709-0E85-4FDC-B605-13324A15867A
Q4686987,Adélaïde Moundélé-Ngollo,Q112320707,Minister of Small and Medium Enterprises and Handicrafts,2007-12-30,2021-05-15,,,Q4686987-3A533C50-A061-49DF-93EC-50FEF1F129FE
