position,title
Q10353660,President
Q49001219,Vice-President
Q30101451,Prime Minister
Q112320732,Vice-Prime Minister
Q112320656,Minister of Agriculture
Q112320657,Minister of Civic Education
Q112320658,Minister of Civil Service
Q112320660,Minister of Commerce
Q112320661,Minister of Communications
Q112320662,Minister of Construction
Q112320664,Minister of Cooperation
Q112315782,Minister of Culture and Arts
Q112320665,Minister of Defence
Q112320668,Minister of Economy
Q112320669,Minister of Education
Q112320671,Minister of Energy
Q112581407,Minister of the Environment
Q112320672,Minister of Equipment
Q112320673,Minister of Finance
Q112320674,Minister of Fishing
Q18204385,Minister of Foreign Affairs
Q112320675,Minister of Forestry
Q98966140,Minister of Health
Q112320677,Minister of Higher Education
Q112320678,Minister of Hydrocarbons
Q112320681,Minister of Industrial Development
Q112320684,Minister of Industry
Q112320686,Minister of Interior
Q112581524,Minister of International Cooperation
Q112320688,Minister of Justice
Q112320689,Minister of Labour
Q112320690,Minister of Land
Q112320691,Minister of Maritime Economy and Merchant Navy
Q112320693,Minister of Mines
Q112320695,Minister of National Defence
Q112320696,Minister of Planning
Q112320698,Minister of Posts and Telecommunications
Q112320699,Minister of Reconstruction and Urban Development
Q112320701,Minister of Regional Integration
Q112320702,Minister of Regional Planning
Q112320703,Minister of Scientific Research
Q112320705,Minister of Security and Public Order
Q112320707,Minister of Small and Medium Enterprises and Handicrafts
Q112320708,Minister of Social Affairs
Q112320711,Minister of Special Economic Zones
Q112320713,Minister of Sports
Q112320714,Minister of State Control
Q112320715,Minister of Sustainable Development
Q112320718,Minister of Territorial Administration
Q112320719,Minister of Territory Administration
Q112581548,Minister of Territorial Development
Q112320720,Minister of Tourism
Q112320722,Minister of Trade
Q112320723,Minister of Transport
Q112581688,Minister of Vocational Training and Employment
Q112320727,Minister of Women
Q112320728,Minister of Youth and Sports
Q112320655,Minister at the Presidency
Q112320731,Minister without Portfolio
Q112581673,Minister Delegate to the Prime Minister
Q112320653,Minister Delegate to the Minister of Construction
Q112581013,Minister Delegate to the Minister of Finance
Q112320654,Minister Delegate to the Minister of Foreign Affairs
Q112581010,Minister Delegate to the Minister of the Interior
Q112320644,Government Secretary General
