name,alternate,party,constituency
BOUTI-VIAUDO Roland,TCHIBINDA Alain,MAR,Loango
MABIALA Alexandre,MAKASSO Fils Basile,PCT,kakamoeka
SOUNDA Jean Aimé,MAVOUNGOU Gustave,RDPS,Hinda
TENGO Laurent,MAKOSSO Serge Marvelh,MAR,Madingo-Kayes
BATCHI Gabriel,LOUEMEBET Landry Autria Fabrice,RDPS,Nzambi
MATOMBE Paul,KOUMBA BALOLA Gaston,Indépendant,Mvouti 1
COUSSOUD-MAVOUNGOU Martin Parfait Aimé,LOUVOUNOU Alphonse,PCT,Mvouti 2
N’DINGA Alexis,BOUITY Berthe,PCAP,Lumumba 1
BISSOUTA MABONDA Alois Devic,ONGOLY née LOUMINGOU Géneviève,PCT,Lumumba 2
MAVOUNGOU Maurice,BELI Victor,MAR,Lumumba 3
THYSTERE TCHIKAYA Jean Marc,BONGO Emilon Patrick,RDPS,Mvou - Mvou 1
TCHIGNOUMBA MBOUMBA Gilbert Paul,NGUIMBY DE MOUSSYTH KINGA Patrick,PCT,Mvou - Mvou 2
NKODIA KYND Gaétan,MBOUNGOU Goolfred Florent,PCT,Tié - tié 1
BAYENDISSA Brice Dimitri,MBOUNGOU MBOUNGOU Raymond,PCT,Tié - tié 2
KABA VELE née MPAN Suzanne,MAKOSSO Anatole Collinet,PCT,Loandjili 1
MAMONA Ferdinand,MIOKO Germain,PCT,Loandili 2
FOLLO Isaac Raymond,PAKA BANTHOUD Genest Wilfrid,PCT,Ngoyo
KANDO Jean François,OKANDZA Fernand,PCT,Mongo - Mpoukou
MAKOSSO Christian Ernest,PAMBOU DADET Daniast,PCT,Tchiamba - Nzassi
LISSOUBA Jeremih Sylvain,NZAOU Féicien Dieudonné,UPADS,Dolisie 1
SAYI Honoré,KAYA MVOULA Brice,UPADS,Dolisie 2
KOUMBA Justin,BINISSA François,PCT,Banda
NKOUNKA MANANGA YOGO Marianne,NZOUMINI DITADI,PCT,Divenié
ZAMBA Bienvenu Victor,IBOUANGA Jean Pierre,UPADS,Kibangou
MOUANDA Jean Jacques,MAYANITH NGOMA,PCT,Kimongo
NGOULA Antoine,GOMA Antoine,PCT,Londéla - Kayes
MAVOUNGOU Jean Antoine,BATANGOUNA MOUNDA Bienvenu,PCT,Louvakou
MABIALA Pierre,NTSAMBVA Léon,PCT,Makabana
LEYINDA Pascal Alain,MBOUKOULOU Lucien,UPADS,Mayoko
MOUANDZA Pierre,OBANGA Jean Fabrice,DRD,Mbinda
BIYOT Jean Bruno,BANDANGOYI YANDOT Claude Juet,DRD,Moungoundou - Nord
LITENGO KONGO Simon,DOUMA Boniface,MAR,Moungoundou - Sud
NDOUNA François,BIRANGUE Aloise,Indépendant,Mossendjo 1
TSOUMOU Yves,NGOMA Isidore Séraphin,Indépendant,Mossendjo 2
LALISSINI BIKINDOU Justice,IBINGOU KOUASSI Gaëtan,Indépendant,Moutamba
DOUKAGA Destinée Hermella,KOMBILA Michel Roger,FP,Nyanga
MBANI Jean Valère,BOUBITA MBOMO,UMP,Yaya
NDIKI MAMPAKA Christophe,MOUANDA Donatien,Indépendant,Madingou commune
NGABELET Auguste,MABIALA Alain Roger,Indépendant,Madingou district
BATI Benoit,MANKITA Joseph,PCT,Tsiaki
NKOUKA Jean,MOUHINGOU Germain,PCT,Kayes
MBANZOULOU Eugene,POUELA Marc Gilbert,PCT,Boko-Songho
SYBALI Jean,MANTSOUNGA Joseph,PCT,Kingoué
N’GOMA MBOUKOU Ulriche,KAYA Jean,PCT,Yamba
BIDOUNGA Alphonse,TOUNGOUKA Fidèle,UPADS,Nkayi 1
DILOU NGOMA Samuel,MANKOU Aimé Vincent,Indépendant,Nkayi 2
KALLA Marcel,MATOUTI Albert,PCT,Mabombo
TSATY MABIALA Pascal,MAKOUENDE Jean Didier,UPADS,Loudima
NZOMONO Macaire,MBOBO KITOKO Charles,Indépendant,Mfouati
MBOUSSI NGOUARI Michel,BANGA Antoine,MNLC,Mouyondzi
MOUAMBA Clément,MBAMA Fabrice Adolphe,PCT,Sibiti commune
KIGNOUMBI KIA MBOUNGOU Joseph,NZIMBI Norbert,LA CHAINE,Sibiti district
TSOUMOU MOUKASSA Adrien,MOUKOUIMI Albert,UPADS,Bambama
TSIBA Jean Appolinaire,OYANDZA Guy Fernand,UPADS,Komono
MOUHOUMOUNOU David Benoit,MAMPEME Jean Felix,PCT,Mayéyé
MBANI Marcel,MAMPASSI Jean Bosco,PCT,Zanaga
FYLLA SAINT-EUDES Nicéphore Antoine,MALONGA Jean Paul,PRL,Kinkala commune
MENSAH née SASSOU NGUESSO,MFIRA Pascal,PCT,Kintélé commune
EBINA José Cyr Adélard,LABIMEBOU Timothé,PCT,Ignié
MIHAMBOU Josué,KOUKA Jeanne Rose,CRDP,Loumo
PAMBOU Germaine,BASSAFOULA Emile,Indépendant,Louingui
ONDONGO Evariste,INKARI Benoit,PCT,Ngabé
KOULOUMBOU Marie Jeanne,BANZOULOU KANI Honorat,PCT,Boko
NGOUONIMBA Josué Rodrigue,GANAO NGASSEBE Marc Aurèle,UFD,Djambala commune
NGOULOU Boniface,,DRD,Djambala district
IBOMBO Jean Pierre,OSSEBI Jean Christ,PCT,Allembé
MBOULOU Raymond Zéphirin,ANDAMOUI Raphael,PCT,Mpouya
NGOUELONDELE Hugues,ELAULT Bello Belard,PCT,Gamboma 1
OBAM ONDON Antoine Bienaimé,NKABA Ernestine,PCT,Gamboma 2
MBOSSA Joseph,EBARA Fidèle,PCT,Abala
GALIBALI Ghyslain Millet,LIMBOULA Bruno,Indépendant,Lekana
NGATSELE Alphonse,NGALIBO Pascal,Indépendant,Mbon
TSALISSAN OKOMBI Digne Elvis,OMBO LEBARRAS Charles Timothé,UMP,Ngo
ITOUA Bruno Jean Richard,BOSSA Fidèle,PCT,Ollombo 1
IBARA NDELI Felix,KIBA Jean Paul,PCT,Ollombo 2
ONDZE née NGAMBOLO Bernadette,KANGA Philipe,PCT,Makotimpoko
ONDELE jaurès,MOUNDELE NGOLO EHOUROSSIA Yves,PCT,Ongogni
SASSOU-NGUESSO Denis Christel,YOKA Justin,PCT,Oyo commune
OMINGA Maixent Raoul,IBELA Abraham,PCT,Oyo district
NGOKANA Denis Auguste Marie,LEKOUNDZOU TSATSA Avanke,PCT,Boundji
AMBETO Blaise,OKONDZA Jean Fréderic,PCT,Ngoko
AYESSA Firmin,YEKA Fréderic,PCT,Makoua
IKEMOU Théodore,MOUANDZA MOUYABI Francis,PCT,Ntokou
BOUYA Jean Jacques,OMBAKA Jean Michel,PCT,Tchikapika
