itemLabel,role,partyLabel,areaLabel
INKARI Benoit,alternate,PCT,Ngabé
KOULOUMBOU Marie Jeanne,deputy,PCT,Boko
BANZOULOU KANI Honorat,alternate,PCT,Boko
NGOUONIMBA Josué Rodrigue,deputy,UFD,Djambala commune
GANAO NGASSEBE Marc Aurèle,alternate,UFD,Djambala commune
NGOULOU Boniface,deputy,DRD,Djambala district
Suppléant,alternate,DRD,Djambala district
IBOMBO Jean Pierre,deputy,PCT,Allembé
OSSEBI Jean Christ,alternate,PCT,Allembé
MBOULOU Raymond Zéphirin,deputy,PCT,Mpouya
ANDAMOUI Raphael,alternate,PCT,Mpouya
NGOUELONDELE Hugues,deputy,PCT,Gamboma 1
ELAULT Bello Belard,alternate,PCT,Gamboma 1
OBAM ONDON Antoine Bienaimé,deputy,PCT,Gamboma 2
NKABA Ernestine,alternate,PCT,Gamboma 2
MBOSSA Joseph,deputy,PCT,Abala
EBARA Fidèle,alternate,PCT,Abala
GALIBALI Ghyslain Millet,deputy,Indépendant,Lekana
LIMBOULA Bruno,alternate,Indépendant,Lekana
NGATSELE Alphonse,deputy,Indépendant,Mbon
NGALIBO Pascal,alternate,Indépendant,Mbon
TSALISSAN OKOMBI Digne Elvis,deputy,UMP,Ngo
OMBO LEBARRAS Charles Timothé,alternate,UMP,Ngo
ITOUA Bruno Jean Richard,deputy,PCT,Ollombo 1
BOSSA Fidèle,alternate,PCT,Ollombo 1
IBARA NDELI Felix,deputy,PCT,Ollombo 2
KIBA Jean Paul,alternate,PCT,Ollombo 2
ONDZE née NGAMBOLO Bernadette,deputy,PCT,Makotimpoko
KANGA Philipe,alternate,PCT,Makotimpoko
ONDELE jaurès,deputy,PCT,Ongogni
MOUNDELE NGOLO EHOUROSSIA Yves,alternate,PCT,Ongogni
SASSOU-NGUESSO Denis Christel,deputy,PCT,Oyo commune
YOKA Justin,alternate,PCT,Oyo commune
OMINGA Maixent Raoul,deputy,PCT,Oyo district
IBELA Abraham,alternate,PCT,Oyo district
