item,itemLabel,position,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q112568397,ALOUMBA Alexandre,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568397-9BB1F3EF-1B88-4CF2-95B6-D4F05427CB44
Q112568398,AMBETO Blaise,Q21295980,Q1785816,PCT,,,2017-08-19,,male,Q112568398-5EE1B8DF-D84D-422C-B2BD-5DD1ACC96DEA
Q5452128,AYESSA Firmin,Q21295980,Q1785816,PCT,,,2017-08-19,,male,Q5452128-B5FB446A-DA3E-46B1-B130-759244FEB6BE
Q6281268,BADIABIO Joseph,Q21295980,Q327591,SÉ,,,2017-08-19,,male,Q6281268-A693C665-15FC-40EB-A73E-62137F92E335
Q112568399,BAMBI GOMA Gerald Lone,Q21295980,Q327591,SÉ,,,2017-08-19,,,Q112568399-98EDA934-6CE9-4568-B757-006A81A995EF
Q112568400,BATCHI Gabriel,Q21295980,,,,,2017-08-19,,,Q112568400-D875E61C-CBE3-4A84-AAE7-A2E250F0FE34
Q16951225,BATI Benoit,Q21295980,Q1785816,PCT,,,2017-08-19,,male,Q16951225-CD00231D-2EAC-4B08-A964-9E585458840F
Q112568401,BAYENDISSA Brice Dimitri,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568401-5EB54399-9B97-4230-99C3-6765B0581D7E
Q112568402,BIDIE BIAMBEMBA Placide Helb,Q21295980,,,,,2017-08-19,,,Q112568402-51D1C79D-2DFA-471C-8CF7-4A48478EE1C9
Q112568403,BIDOUNGA Alphonse,Q21295980,,,,,2017-08-19,,,Q112568403-E461583D-DFA1-4AD2-980E-697C0451734B
Q50379869,BININGA Aimé Ange Wilfrid,Q21295980,Q1785816,PCT,Q5419068,Ewo District,2017-08-19,,male,Q50379869-04767418-b109-440e-927f-684635f3a595
Q112568404,BISSOUTA MABONDA Alois Devic,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568404-2F8344A4-DCEE-405C-AA18-AB877B44C08F
Q112568405,BIYOT Jean Bruno,Q21295980,,,,,2017-08-19,,,Q112568405-079D53B6-0658-4A01-80E0-8F2E39A50D1D
Q112568406,BOKOUMAKA Gabriel,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568406-7499FC7B-BEB8-45F6-B592-4C2184836C2F
Q112568407,BONGOUAMBE MOLOBO Baccer,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568407-AB4D4B3F-C097-4161-B6E4-644F67FDA029
Q112568409,BOUDZIKA Bonaventure,Q21295980,,,,,2017-08-19,,,Q112568409-965AA02A-6013-4DF2-AC06-05518C227148
Q112568410,BOUTI-VIAUDO Roland,Q21295980,,,,,2017-08-19,,,Q112568410-CF0C0CCC-E98A-4CCF-967D-07D623A86F20
Q6169352,BOUYA Jean Jacques,Q21295980,Q1785816,PCT,,,2017-08-19,,male,Q6169352-C7FF6CA5-8AF0-4CE0-AB5D-48A5C6917C23
Q112568411,CHISSO Adélaïde Rufine,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568411-A95376DD-08CE-47A0-8C81-47E8F41A3A8F
Q3295579,COUSSOUD-MAVOUNGOU Martin Parfait Aimé,Q21295980,Q1785816,PCT,,,2017-08-19,2022-03-14,male,Q3295579-B7883BEF-CCAF-490F-A89C-D92A5C673B57
Q112568412,DILOU NGOMA Samuel,Q21295980,Q327591,SÉ,,,2017-08-19,,,Q112568412-D0CA238C-C622-49F2-99B7-B33E4FAA9812
Q5715430,DJOMBO Henri,Q21295980,Q1785816,PCT,,,2002,,male,Q5715430-6DE5AE91-EAB2-408A-BE50-BC1AAEC14710
Q112568413,DOLAMA Virginie Euphrasie,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568413-E077BEDD-13EB-4E27-881B-250BFDC25604
Q48778190,DOUKAGA Destinée Hermella,Q21295980,,,,,2017-08-19,,female,Q48778190-8A3D55B3-2D0D-4B02-93C4-5107F6892C97
Q112568414,EBINA José Cyr Adélard,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568414-860AA612-FC75-4BAF-915C-AB502B11EA4A
Q112568415,ELENGA Faustin,Q21295980,Q1785816,PCT,,,2017-08-19,,male,Q112568415-3E2FBE23-2506-4C11-B6EA-74DA32AF674D
Q16873364,FOLLO Isaac Raymond,Q21295980,Q1785816,PCT,,,2017-08-19,,male,Q16873364-4028CA6E-272E-4578-8083-6696A517C926
Q57464277,FYLLA SAINT-EUDES Nicéphore Antoine,Q21295980,,,,,2017-08-19,,male,Q57464277-3050312E-0055-49C0-B53D-3294E4768638
Q112568416,GALIBALI Ghyslain Millet,Q21295980,Q327591,SÉ,,,2017-08-19,,,Q112568416-2CFABB8A-4DC5-4D3A-ADDB-186E41F3CCA4
Q112568417,GASSACKYS Ferrol Constant Patrick,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568417-9FABA4E2-CEB9-4900-89D1-A0ABEB88F144
Q112568418,GOUAMBA Ninon Pachel,Q21295980,Q327591,SÉ,,,2017-08-19,,,Q112568418-84420240-5460-42E2-82E9-692EB0434626
Q3121597,Guy Brice Parfait Kolélas,Q21295980,,,,,2007,2021-03-22,male,Q3121597-8661daa0-43df-1995-1133-86c6a78d3e75
Q112568419,HOBIE Thierry,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568419-BA9A00D1-5E9E-49B5-A810-E0E88C2231C9
Q112568420,IBARA NDELI Felix,Q21295980,Q1785816,PCT,,,2017-08-19,,male,Q112568420-D9E8246F-C041-48AA-B1A0-367E5EC4483A
Q112568421,IBOMBO Jean Pierre,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568421-9009152F-A0AC-41D1-A348-E867F5577BE1
Q16730014,IBOVI Jean Claude,Q21295980,,,,,2017-08-19,,male,Q16730014-E0E9C628-0F17-4875-8A55-9B5220902CDC
