item,itemLabel,position,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q112568422,IKEMOU Théodore,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568422-46FE5D92-BBC0-4D70-AAFA-BE8C9754B98C
Q61600532,INGANI INES NEFER Bertille,Q21295980,Q1785816,PCT,,,2017-08-19,,female,Q61600532-bc9d1920-0ab7-4c80-a701-41b6c91c4583
Q4979263,ITOUA Bruno Jean Richard,Q21295980,Q1785816,PCT,,,2017-08-19,,male,Q4979263-47060FB6-E7F3-41D3-9080-8661B004AB3F
Q112568423,KABA VELE née MPAN Suzanne,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568423-57E8BFBE-AEB7-4EE8-A9A9-C0846C80B0FD
Q17388560,KALLA Marcel,Q21295980,Q1785816,PCT,,,2017-08-19,,male,Q17388560-68105862-B55C-45C9-9EAC-021FF7EB1719
Q61729121,KANDO Jean François,Q21295980,Q1785816,PCT,,,2017-08-19,,male,Q61729121-D71680C1-7162-4946-B8D3-7740E759F399
Q112568424,KANGA Jean Bruno,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568424-96DE58EE-C70E-4B79-9F01-26152BE3BEB6
Q112568425,KIBOZI Régis Joseph,Q21295980,Q327591,SÉ,,,2017-08-19,,,Q112568425-B3B29D04-57DD-4D16-9277-4657FD7C52DC
Q112399,KIGNOUMBI KIA MBOUNGOU Joseph,Q21295980,Q3550401,UPADS,,,2002,,male,Q112399-c2b8ce99-bb56-4659-8d39-df1bc7569b9e
Q112568426,KOULOUMBOU Marie Jeanne,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568426-EDF02668-DDBC-4A5A-8847-4E34AC21517E
Q6317789,KOUMBA Justin,Q21295980,Q1785816,PCT,,,2017-08-19,,male,Q6317789-DF61007B-69E9-4F6E-A788-F0A4810F7EF1
Q112568427,KOURISSA Jean De Dieu,Q21295980,Q1785816,PCT,,,2017-08-19,,male,Q112568427-908FCAF0-A0D7-4D69-BBD2-B28410121144
Q112568428,LALISSINI BIKINDOU Justice,Q21295980,Q327591,SÉ,,,2017-08-19,,,Q112568428-44DA0E10-B32A-4DC6-BC52-840D7023ACA9
Q112568429,LEMBOUMBA née IKIA SASSOU-NGUESSO Claudia,Q21295980,Q1785816,PCT,,,2017-08-19,,female,Q112568429-EB339D0B-B528-43EC-B93B-00DEE9D8907C
Q112568430,LEYINDA Pascal Alain,Q21295980,,,,,2017-08-19,,male,Q112568430-3F127D85-77AC-4B1E-8611-1E8BB02F635C
Q112568463,LISSOUBA Jeremih Sylvain,Q21295980,,,,,2017-08-19,,,Q112568463-A754E7BE-60CE-473A-BF70-7331ACB5D16B
Q112568464,LITENGO KONGO Simon,Q21295980,,,,,2017-08-19,,,Q112568464-1B7FF03D-59CD-4D9C-B7EE-E0D8B689E0BC
Q112568465,MABIALA Alexandre,Q21295980,Q1785816,PCT,,,2017-08-19,,male,Q112568465-C568B6AC-756B-4491-BDF8-B0C0330511B9
Q7192339,MABIALA Pierre,Q21295980,Q1785816,PCT,,,2017-08-19,,male,Q7192339-904D3C64-6877-4985-BFDC-3CA77BDD48B2
Q112568466,MAKOSSO Christian Ernest,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568466-1203B370-7F53-41FE-B434-DB2AC35AB660
Q112568467,MALONGA Nicolas Jean Jacques,Q21295980,Q327591,SÉ,,,2017-08-19,,,Q112568467-B4957ED3-D1C2-4E09-9060-62126F300DA4
Q112568468,MAMBOUO née SITA Olga Clarisse,Q21295980,Q327591,SÉ,,,2017-08-19,,,Q112568468-38391622-808B-485B-AC42-9FC2C1D3F60A
Q112568469,MAMONA Ferdinand,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568469-9FE0C2DE-956C-4262-BBC2-33311923D786
Q112568470,MANIA Venance,Q21295980,Q1785816,PCT,,,2017-08-19,,male,Q112568470-B9B70275-F8C8-4669-8A82-A754C6341F63
Q112568471,MATOMBE Paul,Q21295980,Q327591,SÉ,,,2017-08-19,,,Q112568471-84CD3D49-2AAD-4B26-99B0-AABC155D535C
Q112568473,MATSIMA KIMBEMBE Préference,Q21295980,Q327591,SÉ,,,2017-08-19,,,Q112568473-20C48E2F-CA33-42F7-A741-7986D8ADD071
Q112568474,MAVOUNGOU Jean Antoine,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568474-93BA97B1-2834-4D91-AE35-DD0DC27B002E
Q6793338,MAVOUNGOU Maurice,Q21295980,,,,,2017-08-19,,male,Q6793338-ED88232B-23C9-48E1-8BF7-CEAB87D04703
Q112568475,MBANI Jean Valère,Q21295980,,,,,2017-08-19,,,Q112568475-E43A24CB-6148-41A0-9E36-91790607939E
Q112321258,MBANI Marcel,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112321258-CE3A1741-2F1E-4175-A8C5-D8BB6D093E3B
Q112568476,MBANZOULOU Eugene,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568476-0806F171-C8BC-4FA2-B647-33F5E53E1301
Q112568477,MBOSSA Joseph,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568477-AB8D493E-F6CA-489E-BF49-755EC63C7915
Q7299001,MBOULOU Raymond Zéphirin,Q21295980,Q1785816,PCT,,,2017-08-19,,male,Q7299001-B1ADD6D9-03E5-4B96-AFFA-CDFF9D45304E
Q112568478,MBOUMA Albert,Q21295980,Q1785816,PCT,,,2017-08-19,,male,Q112568478-9997BFD7-0782-4D36-98E1-FFE75472E25B
Q112568481,MBOUSSI NGOUARI Michel,Q21295980,,,,,2017-08-19,,,Q112568481-6E506F4A-715F-4606-8535-0D6EF65D4898
Q112568482,MENSAH née SASSOU NGUESSO,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568482-B58919DF-C5D3-48B0-B376-BDB2B8CD3B4A
Q112568483,MIHAMBOU Josué,Q21295980,,,,,2017-08-19,,,Q112568483-92F7522A-CBF5-41CB-8FB3-C40E6E345D84
Q112568484,MINDA Pierre Christian,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568484-68620DDA-F642-4384-A124-937AC5B47211
Q112568485,MOBONDZO ENDZONGA Marien,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568485-CD1AC535-D8B6-46B7-8714-2F2C66168F54
Q4705682,MOKA Alain,Q21295980,Q1785816,PCT,,,2017-08-19,,male,Q4705682-9EBECAAE-04B9-4CF7-B236-CF8393F20F43
Q112568486,MOKEMO Zacharie,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568486-89C8C306-75CB-4893-BC4E-D4D5456563E6
Q112568487,MONDELE Juste Désiré,Q21295980,,,,,2017-08-19,,,Q112568487-CF8EE426-8558-4C38-9852-26B2A3886F07
Q24158913,MOTTOM MAMONI Léonidas Carrel,Q21295980,Q1785816,PCT,,,2017-08-19,,male,Q24158913-092058e8-49cf-7096-89bd-2f7a4fdb17c5
Q112568489,MOUAGNI Aimé Hydevert,Q21295980,,,,,2017-08-19,,male,Q112568489-888A3602-34E6-4830-9D85-C62B41EAC3C0
Q23928873,MOUAMBA Clément,Q21295980,Q1785816,PCT,,,2017-08-19,2021-10-29,male,Q23928873-475A8489-7EFF-44D9-9533-6EA709AAABC7
Q112568490,MOUANDA Jean Jacques,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568490-46DF8D54-E6B7-44FB-80C1-CB4D666526E4
Q112568491,MOUANDZA Pierre,Q21295980,,,,,2017-08-19,,,Q112568491-25159626-8E38-41E8-9F11-BC348E9D1721
Q112568492,MOUELE Serge Hubert,Q21295980,Q1785816,PCT,,,2017-08-19,,male,Q112568492-69320DBA-F397-44F0-9E9F-09AEE801344D
Q112568493,MOUHOUMOUNOU David Benoit,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568493-B9D6DA03-6786-4953-B4B8-6D63B2FCF9B3
Q17110704,MOUSSODIA Jean Didace Médard,Q21295980,,,,,2017-08-19,,male,Q17110704-4A648D84-E3FD-40EA-8278-78B75FBB7DD7
Q112568494,NDIKI MAMPAKA Christophe,Q21295980,Q327591,SÉ,,,2017-08-19,,,Q112568494-D80D6B34-B7A4-429C-BE52-D0478C23EF94
Q112568495,NDINGA MAKANDA Accel Arnaud,Q21295980,Q1785816,PCT,,,2017-08-19,,male,Q112568495-C0969BF4-2048-4336-A997-04B31D11E565
Q17111062,NDOUANE DAMBERT René,Q21295980,Q1785816,PCT,,,2017-08-19,,male,Q17111062-BD16341A-3EF1-411A-8BBC-35E2D02F9843
Q112568496,NDOUNA François,Q21295980,Q327591,SÉ,,,2017-08-19,,,Q112568496-C7A280EF-2DBD-478E-B2CE-ED05CB6DC447
Q112568497,NGABELET Auguste,Q21295980,Q327591,SÉ,,,2017-08-19,,,Q112568497-BD24EEC9-4862-4ED9-AAD0-60B1B9ED15CD
Q112568498,NGAMBILI IBAM Bersol Exaucé,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568498-44B4C710-127A-4D03-8995-391A5C90C00B
Q57069711,NGANFOUOMO Charles,Q21295980,Q1785816,PCT,,,2017-08-19,,male,Q57069711-1034904D-75D9-4EB9-987A-A05F24BB9CB8
Q112568499,NGATSELE Alphonse,Q21295980,Q327591,SÉ,,,2017-08-19,,,Q112568499-9D57A7B6-5F29-4DE6-8106-F6263172F2FD
Q112568500,NGOKANA Denis Auguste Marie,Q21295980,Q1785816,PCT,,,2017-08-19,,male,Q112568500-67F2C9B3-9CA0-4A6E-A2AD-57EB7B42AF44
Q3142653,NGOUELONDELE Hugues,Q21295980,Q1785816,PCT,,,2017-08-19,,male,Q3142653-AE713C1F-4484-4312-958E-29C726E6C61F
Q112568501,NGOULA Antoine,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568501-513EE4B6-502E-4808-A427-29D5C96211AB
Q112568502,NGOULOU Boniface,Q21295980,,,,,2017-08-19,,,Q112568502-9721C91A-8CEC-40E7-AEF2-A30E2149AAC5
Q55807584,NGOUONIMBA Josué Rodrigue,Q21295980,,,,,2017-08-19,,male,Q55807584-D7520F10-0726-4342-B8B5-94BE499255FC
Q112568503,NGOZOK MISSEKA Golfe,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568503-C9A0D422-6059-4998-B54F-FB4AA32E7335
Q105763582,NIANGA Blandine,Q21295980,Q1785816,PCT,,,2017-08-19,,female,Q105763582-4B802F0F-7EFA-4AD9-836F-40F7CD4D9FD7
Q112568508,NKODIA KYND Gaétan,Q21295980,Q1785816,PCT,,,2017-08-19,,male,Q112568508-9AD266E6-74E1-4612-B135-6EB3370228DC
Q112568509,NKOUKA Jean,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568509-68EFD079-BE3D-4CA8-A549-A4C823719E74
Q112568510,NKOUNKA MANANGA YOGO Marianne,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568510-7A06F169-4E88-46F0-AC6B-4B16CB8608EB
Q112568511,NYANGA ELENGA André,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568511-B3816EA6-EB45-4663-B58E-BCE0A22525F8
Q112568512,NZOMONO Macaire,Q21295980,Q327591,SÉ,,,2017-08-19,,,Q112568512-92A30F6A-7864-4654-8690-A84141DABBD5
Q112568514,N’DINGA Alexis,Q21295980,,,,,2017-08-19,,,Q112568514-0BD9F878-9132-4C02-8B7F-4BA778CF0332
Q112568515,N’GOMA MBOUKOU Ulriche,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568515-76C431D3-49F1-4A16-8757-34C847E238EC
Q65158671,OBAM ONDON Antoine Bienaimé,Q21295980,Q1785816,PCT,,,2017-08-19,,male,Q65158671-639A78DC-B87E-47DE-B838-115F48130ED9
Q48778049,OBAMBI Pierre,Q21295980,Q1785816,PCT,,,2017-08-19,,male,Q48778049-23BC5AAB-4B19-4538-8284-DBC32272357A
Q112568516,OKOUENI Michel,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568516-0E4E7D1F-8F56-458D-AD55-D6AE74B88641
Q112568517,OMINGA Maixent Raoul,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568517-B99D2D9B-69EA-40BF-8BCE-DFC5DDCD9C97
Q112568518,ONDELE jaurès,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568518-5EA296C1-D001-49F5-837D-2C62CC172B64
Q112568519,ONDONGO Evariste,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568519-A8C6709F-4D2E-4405-9782-6F6B2191AA2A
Q5561139,ONDONGO Gilbert,Q21295980,Q1785816,PCT,,,2017-08-19,,male,Q5561139-0DFEFABA-A468-48F4-8DF3-0002A35C36F4
Q112568520,ONDZE Dominique,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568520-435FD06E-DB44-422F-BD44-658F22B77DC9
Q112568521,ONDZE née NGAMBOLO Bernadette,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568521-03EA00D4-39CC-483E-A897-7E80C6599A17
Q6711024,OPIMBAT Léon Alfred,Q21295980,Q1785816,PCT,,,2017-08-19,,male,Q6711024-A4D44FCD-7121-4785-8EF3-2A6B1966CDE6
Q112568522,OPIMBAT née MBOUNDZA MOKE EKOTIKAMBI Charlotte,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568522-C1403B05-9430-49FA-9325-DAC5226484B9
Q112568523,OTOKA Oscar,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568523-2145E3A6-37F5-46C3-8D05-D679D8E1E510
Q112568524,OTSALEYOUA Saturnin,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568524-EAD65812-FC3C-4C84-9214-586771C47896
Q112568525,OWASSA YAUCKA Abel Jo,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568525-DB01E5DC-2EFE-434F-96F9-AC09889FE5B4
Q112568526,OYO EMBOUNOU Jules Junior Romy,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568526-0C87F396-2CC1-4CDB-91AF-922973AED63C
Q112568527,PAMBOU Germaine,Q21295980,Q327591,SÉ,,,2017-08-19,,,Q112568527-4E719217-D624-4750-9F90-1977D79C6B74
Q16191165,SABAYE Fernand,Q21295980,Q1785816,PCT,,,2017-08-19,,male,Q16191165-495FC4D6-05DD-4C95-9665-175BBC887785
Q112568528,SAMBA Sylvain,Q21295980,Q327591,SÉ,,,2017-08-19,,,Q112568528-D4B5D6D8-16E1-4C20-940F-4C3619E90B02
Q3022596,SASSOU-NGUESSO Denis Christel,Q21295980,Q1785816,PCT,,,2017-08-19,,male,Q3022596-7C9312F8-8779-4912-AC34-F43137BB2E69
Q106366290,SAYI Honoré,Q21295980,,,,,2017-08-19,,male,Q106366290-61C6544B-412B-40CA-BC68-752BB0DEE368
Q112568529,SEKO Hyppolite,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568529-6741AAFC-AB57-4F9E-B706-9698B4EE5BCC
Q112568530,SOUNDA Jean Aimé,Q21295980,,,,,2017-08-19,,,Q112568530-A1954A91-BA81-4621-9EB1-9487D2181930
Q112568531,SYBALI Jean,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568531-ED891050-AF48-4784-B49A-370080E2A75D
Q112568532,TCHIGNOUMBA MBOUMBA Gilbert Paul,Q21295980,Q1785816,PCT,,,2017-08-19,,,Q112568532-9EB6D94E-095A-4A7D-AF67-8A98C26F2B6D
Q112568533,TENGO Laurent,Q21295980,,,,,2017-08-19,,male,Q112568533-411F44D8-E1B7-46AD-A196-92DFB672B74D
Q112568535,THYSTERE TCHIKAYA Jean Marc,Q21295980,,,,,2017-08-19,,,Q112568535-5735096E-FD1D-4C8D-871E-49EFBE581651
Q105755868,TIELE GAMBIA OLOU Antoinette,Q21295980,Q1785816,PCT,,,2017-08-19,,female,Q105755868-7D7E0163-493B-4C07-98AC-4E22CAD57F28
Q112568536,TONO Marie Louise,Q21295980,Q1785816,PCT,,,2017-08-19,,female,Q112568536-9620F416-5565-4C17-AB70-2A94E62A6429
Q94285488,TSALISSAN OKOMBI Digne Elvis,Q21295980,,,,,2017-08-19,,male,Q94285488-F28B2521-217C-4896-A6CB-9ABD29C75419
Q7141729,TSATY MABIALA Pascal,Q21295980,Q3550401,UPADS,Q4267430,Loudima District,1992,,male,Q7141729-97222B80-78CD-42BF-ADB0-AA55161BFB59
Q112568537,TSIBA Jean Appolinaire,Q21295980,,,,,2017-08-19,,,Q112568537-E8BC0810-E4D0-4E92-9C0D-DA0E883BC5B1
Q112568539,TSOUMOU MOUKASSA Adrien,Q21295980,,,,,2017-08-19,,male,Q112568539-6CB0D38A-10F6-43D2-B8CB-A6212EF6E46C
Q112568540,TSOUMOU Yves,Q21295980,Q327591,SÉ,,,2017-08-19,,,Q112568540-00429398-121D-49D4-9D31-5D1BBADBA404
Q112568541,ZAMBA Bienvenu Victor,Q21295980,,,,,2017-08-19,,,Q112568541-625B244D-A8E5-451E-9E93-D847772FF4FE
Q112568543,ZONIABA AYIMESSONE Henri,Q21295980,Q1785816,PCT,,,2017-08-19,,male,Q112568543-AD4B66C4-71C9-45BD-9341-9D4EDEA103ED
