@@,itemlabel,psid
+++,AKOUALA GAMBOU Francis Rivelin,
+++,ALONTSAMI Raymond,
+++,ALOUMBA Alexandre,
+++,AMBETO Blaise,
+++,ANDAMOUI Raphael,
+++,AVOUNGOU Georges,
+++,AYESSA Firmin,
---,Aimé Ange Wilfrid Bininga,Q50379869-04767418-b109-440e-927f-684635f3a595
---,Anatole Collinet Makosso,Q4752077-88c94866-18cd-4434-bb77-9d471ec4fc97
+++,BADIABIO Joseph,
+++,BALOKI Gisèle,
+++,BAMBA Octave,
+++,BAMBI GOMA Gerald Lone,
+++,BANDANGOYI YANDOT Claude Juet,
+++,BANGA Antoine,
+++,BANZANI Sébastien Rigobert,
+++,BANZOULOU KANI Honorat,
+++,BASSAFOULA Emile,
+++,BASSEGELA née BIANFOUANA Albertine,
+++,BATANGOUNA MOUNDA Bienvenu,
+++,BATCHI Gabriel,
+++,BATI Benoit,
+++,BAYENDISSA Brice Dimitri,
+++,BEH Jean Claude,
+++,BELEMBO Auguste,
+++,BELEMENE DZAMOND Hilaire,
+++,BELI Victor,
+++,BIDIE BIAMBEMBA Placide Helb,
+++,BIDOUNGA Alphonse,
+++,BININGA Aimé Ange Wilfrid,
+++,BINISSA François,
+++,BIRANGUE Aloise,
+++,BISSOUTA MABONDA Alois Devic,
+++,BIYOT Jean Bruno,
+++,BOBOT Pascal Edmond,
+++,BOKAMBISSA Prudent,
+++,BOKOUMAKA Gabriel,
+++,BONGO Emilon Patrick,
+++,BONGO-SAMBY IBOMBO Louise,
+++,BONGOUAMBE MOLOBO Baccer,
+++,BOSSA Fidèle,
+++,BOUBITA MBOMO,
+++,BOUDZIKA Bonaventure,
+++,BOUITY Berthe,
+++,BOUTI-VIAUDO Roland,
+++,BOUYA Jean Jacques,
+++,CHISSO Adélaïde Rufine,
+++,COUSSOUD-MAVOUNGOU Martin Parfait Aimé,
+++,DANGUIME Martial,
+++,DASSIA Robert,
+++,DILOU NGOMA Samuel,
+++,DJOMBO Henri,
+++,DOLAMA Virginie Euphrasie,
+++,DOLOBO BOKOCKOU Gabriel,
+++,DOUKAGA Destinée Hermella,
+++,DOUMA Boniface,
+++,EBARA Fidèle,
+++,EBINA José Cyr Adélard,
+++,EDJO Jean Robert,
+++,EKONGO Adolphe,
+++,ELAULT Bello Belard,
+++,ELENGA Faustin,
+++,ETOUA Claver David,
+++,EZOUNA NGUIMBI Laure Jeremih,
+++,FOLLO Isaac Raymond,
+++,FOUNGUI Athanase,
+++,FYLLA SAINT-EUDES Nicéphore Antoine,
+++,GALIBALI Ghyslain Millet,
+++,GAMPFINA BAMPE Bory,
+++,GANAO NGASSEBE Marc Aurèle,
+++,GASSACKYS Ferrol Constant Patrick,
+++,GOMA Antoine,
+++,GOUAMBA Ninon Pachel,
---,Guy Brice Parfait Kolélas,Q3121597-8661daa0-43df-1995-1133-86c6a78d3e75
+++,HOBIE Thierry,
---,Henri Djombo,Q5715430-6DE5AE91-EAB2-408A-BE50-BC1AAEC14710
+++,IBARA Jean,
+++,IBARA NDELI Felix,
+++,IBELA Abraham,
+++,IBINGOU KOUASSI Gaëtan,
+++,IBOMBO Jean Pierre,
+++,IBOUANGA Jean Pierre,
+++,IBOVI Jean Claude,
+++,IKANI OBAMBI Maurice,
+++,IKEMOU Théodore,
+++,INGANI INES NEFER Bertille,
+++,INKARI Benoit,
+++,ITOUA Bruno Jean Richard,
---,Inès Nefer Ingani,Q61600532-bc9d1920-0ab7-4c80-a701-41b6c91c4583
---,Joseph Kignoumbi Kia Mboungou,Q112399-c2b8ce99-bb56-4659-8d39-df1bc7569b9e
+++,KABA VELE née MPAN Suzanne,
+++,KALLA Marcel,
+++,KAMARA BANDHIOUGOU Hilley,
+++,KANDO Jean François,
+++,KANGA Jean Bruno,
+++,KANGA Philipe,
+++,KAYA Jean,
+++,KAYA MVOULA Brice,
+++,KESSALE Prosper,
+++,KIBA Jean Paul,
+++,KIBA Salomon,
+++,KIBOYI Omer,
+++,KIBOZI Régis Joseph,
+++,KIGNOUMBI KIA MBOUNGOU Joseph,
+++,KOMBILA Michel Roger,
+++,KOUAZAU MAU Yvon Brice,
+++,KOUKA Jeanne Rose,
+++,KOULOUMBOU Marie Jeanne,
+++,KOUMBA BALOLA Gaston,
+++,KOUMBA Justin,
+++,KOURISSA Jean De Dieu,
+++,LABIMEBOU Timothé,
+++,LALISSINI BIKINDOU Justice,
+++,LEKAKA Nadège Carole,
+++,LEKOUNDZOU TSATSA Avanke,
