item,itemLabel,position,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q112568203,AKOUALA GAMBOU Francis Rivelin,Q112567889,,,,,2017-08-19,,,Q112568203-7459CC8B-656A-4264-9E44-156134B68239
Q112568204,ALONTSAMI Raymond,Q112567889,Q1785816,PCT,,,2017-08-19,,,Q112568204-52E24E11-9060-48A6-BE6D-A9C84A0889BB
Q112568207,ANDAMOUI Raphael,Q112567889,Q1785816,PCT,,,2017-08-19,,,Q112568207-5F255491-D22D-4150-A026-09D0F78B3924
Q112568208,AVOUNGOU Georges,Q112567889,Q1785816,PCT,,,2017-08-19,,,Q112568208-9C98B1CC-4661-455D-A953-0EAED4CFE086
Q112568209,BALOKI Gisèle,Q112567889,Q327591,SÉ,,,2017-08-19,,,Q112568209-6203F030-B3C8-40AD-9529-4BF88F4A90D3
Q112568210,BAMBA Octave,Q112567889,Q1785816,PCT,,,2017-08-19,,,Q112568210-8B3CA6A1-AEAF-4EC9-AE27-2D6336800BC5
Q112568211,BANDANGOYI YANDOT Claude Juet,Q112567889,,,,,2017-08-19,,,Q112568211-CD32883F-7525-45C4-9E04-AFF8292A0BDC
Q112568212,BANGA Antoine,Q112567889,,,,,2017-08-19,,,Q112568212-C577E820-B4EE-4D38-83C9-6452667ED8BE
Q112568213,BANZANI Sébastien Rigobert,Q112567889,Q1785816,PCT,,,2017-08-19,,,Q112568213-AD591512-7DBE-4CA4-BFC7-83ADE17306C1
Q112568214,BANZOULOU KANI Honorat,Q112567889,Q1785816,PCT,,,2017-08-19,,,Q112568214-3CC06DC7-E0F7-4D17-8DF7-6BB10EDA848D
Q112568215,BASSAFOULA Emile,Q112567889,Q327591,SÉ,,,2017-08-19,,,Q112568215-C23B888D-6699-4B34-A9D5-A15795872E0C
Q112568216,BASSEGELA née BIANFOUANA Albertine,Q112567889,Q327591,SÉ,,,2017-08-19,,,Q112568216-BB4A1827-2F28-4D77-B137-898ED9243805
Q112568217,BATANGOUNA MOUNDA Bienvenu,Q112567889,Q1785816,PCT,,,2017-08-19,,,Q112568217-630E0CCF-0431-43C8-B27F-95487A58BB2A
Q112568218,BEH Jean Claude,Q112567889,Q1785816,PCT,,,2017-08-19,,,Q112568218-F5955330-92B6-4141-A134-09BE4619B7B3
Q112568219,BELEMBO Auguste,Q112567889,Q1785816,PCT,,,2017-08-19,,,Q112568219-A25F6C28-A235-42F7-B9A0-207785A7DC17
Q112568220,BELEMENE DZAMOND Hilaire,Q112567889,Q1785816,PCT,,,2017-08-19,,,Q112568220-A636954D-FA58-4500-A6AA-CC95684BBC9C
Q112568221,BELI Victor,Q112567889,,,,,2017-08-19,,,Q112568221-4343B698-2D14-4791-86D4-57CF741F3B7A
Q112568222,BINISSA François,Q112567889,Q1785816,PCT,,,2017-08-19,,,Q112568222-5242869C-FFAD-4F3F-ADB2-FD8963B9A250
Q112568223,BIRANGUE Aloise,Q112567889,Q327591,SÉ,,,2017-08-19,,,Q112568223-1D7211C5-8CE1-4973-B3B0-4EFF81694724
Q112568224,BOBOT Pascal Edmond,Q112567889,Q1785816,PCT,,,2017-08-19,,,Q112568224-B999CF8C-213C-45C2-9501-18B4D00A2160
Q112568225,BOKAMBISSA Prudent,Q112567889,Q1785816,PCT,,,2017-08-19,,,Q112568225-CFAFEE34-42B1-487C-83C9-9686B220C2B8
Q112568226,BONGO Emilon Patrick,Q112567889,,,,,2017-08-19,,,Q112568226-A8DD8E94-FA1E-4FA3-8416-8273AB7C3C24
Q112568227,BONGO-SAMBY IBOMBO Louise,Q112567889,Q1785816,PCT,,,2017-08-19,,,Q112568227-9DA23B3B-FA2E-41D1-BB4F-48D795D4214D
Q112568228,BOSSA Fidèle,Q112567889,Q1785816,PCT,,,2017-08-19,,,Q112568228-0B56A776-E13B-456B-8261-4DA2ED8DD3C1
Q112568229,BOUBITA MBOMO,Q112567889,,,,,2017-08-19,,,Q112568229-A7784F46-0F3B-4259-97B0-DE0466A9B205
Q112568230,BOUITY Berthe,Q112567889,,,,,2017-08-19,,,Q112568230-9E9CE7B0-5C35-4D2A-8B0C-13BFC945DA78
Q112568231,DANGUIME Martial,Q112567889,Q1785816,PCT,,,2017-08-19,,,Q112568231-60B303F2-7F92-4BE8-93E2-D993528F6ECA
Q112568233,DASSIA Robert,Q112567889,Q1785816,PCT,,,2017-08-19,,,Q112568233-A6B6EA02-3F0D-43CB-9E17-E62BD20FFB16
Q112568234,DOLOBO BOKOCKOU Gabriel,Q112567889,Q1785816,PCT,,,2017-08-19,,,Q112568234-22B5D0CF-0D3A-4F22-A4CE-05E3B290441B
Q112568235,DOUMA Boniface,Q112567889,,,,,2017-08-19,,,Q112568235-3F2E41C9-326E-423D-B7B9-A85B8A46DA8E
Q112568236,EBARA Fidèle,Q112567889,Q1785816,PCT,,,2017-08-19,,,Q112568236-E91BB666-B54C-42AE-B4DB-11F1C11EFBFA
Q112568237,EDJO Jean Robert,Q112567889,Q1785816,PCT,,,2017-08-19,,,Q112568237-4EA1EF70-1BF1-4D71-B7F4-B191AC3AAE78
Q112568239,EKONGO Adolphe,Q112567889,Q1785816,PCT,,,2017-08-19,,,Q112568239-05C09833-A072-48A8-89B6-E863457D5260
Q112568240,ELAULT Bello Belard,Q112567889,Q1785816,PCT,,,2017-08-19,,,Q112568240-36569591-3BF5-4C76-BB07-BEADBB1A27E0
Q112568241,ETOUA Claver David,Q112567889,Q1785816,PCT,,,2017-08-19,,,Q112568241-0405F4CF-B452-4D9C-BFB7-5B2551F61FB4
Q112568242,EZOUNA NGUIMBI Laure Jeremih,Q112567889,Q1785816,PCT,,,2017-08-19,,,Q112568242-27DF657F-EA62-445B-A0EB-910900BEC173
Q112568243,FOUNGUI Athanase,Q112567889,Q1785816,PCT,,,2017-08-19,,,Q112568243-47E5688B-F199-4C28-9888-0CF92E996F06
Q112568244,GAMPFINA BAMPE Bory,Q112567889,,,,,2017-08-19,,,Q112568244-FB6C1B04-056D-432A-B89D-F01C6F1D5395
Q112568245,GANAO NGASSEBE Marc Aurèle,Q112567889,,,,,2017-08-19,,,Q112568245-5041BF69-F478-46EA-B419-ECC480F6AC9E
Q112568246,GOMA Antoine,Q112567889,Q1785816,PCT,,,2017-08-19,,,Q112568246-0D09D552-FCCA-499C-89E6-9D1D874756AF
Q112568247,IBARA Jean,Q112567889,Q1785816,PCT,,,2017-08-19,,,Q112568247-847303AB-2496-4175-BD51-450CA4D7B1EA
Q112568248,IBELA Abraham,Q112567889,Q1785816,PCT,,,2017-08-19,,,Q112568248-75A0CEF7-4FFA-416F-BC06-A29C81582EBC
Q112568249,IBINGOU KOUASSI Gaëtan,Q112567889,Q327591,SÉ,,,2017-08-19,,,Q112568249-F5ED807E-42C2-4455-8795-4A6D18FE55EF
Q112568250,IBOUANGA Jean Pierre,Q112567889,,,,,2017-08-19,,,Q112568250-A4715723-56CE-48F3-9C13-D17C791C89A2
Q112568251,IKANI OBAMBI Maurice,Q112567889,Q1785816,PCT,,,2017-08-19,,,Q112568251-0F6CC2B3-4503-446A-AE9C-043FDA6C5281
Q112568252,INKARI Benoit,Q112567889,Q1785816,PCT,,,2017-08-19,,,Q112568252-A6D24110-1AFC-42E5-861B-CC31C084CDAB
Q112568253,KAMARA BANDHIOUGOU Hilley,Q112567889,Q1785816,PCT,,,2017-08-19,,,Q112568253-9BC3B5B9-23CF-4040-AB35-B26D78C2FAA3
