item,itemLabel,party,partyLabel,area,areaLabel,startDate,endDate,gender
,OWASSA-YAUCKA ABEL JOEL,Q1785816,PCT,,OWANDO2,,,male
,PANDOU ANICET WILFRID,Q327591,Independent,,MAKELEKELE4,,,male
,SABAYE FERDINAND,Q327591,Independent,,BETOU,,,male
,SASSOU NGUESSO DENIS CHRISTEL,Q1785816,PCT,,OYO,,,male
,SAYI HONORE,Q3550401,UPADS,,DOLISIE2,,,male
,SIBALY JEAN,Q1785816,PCT,,KINGOUE,,,male
,SOUSSA LOUIS,Q1785816,PCT,,ALLEMBE,,,male
,TCHIGNOUMBA BOUMBA PAUL GILBERT,Q327591,Independent,,MVOU-MVOU2,,,male
,TENGO LAURENT,Q4677129,MAR,,MADINGO-KAYES,,,male
,THYSTHERE TCHICAYA JEAN MARC,Q17075186,RDPS,,Circonscription de,,,male
,TIELE-GAMBIA OLOU ANTOINETTE,Q1785816,PCT,,DJIRI1,,,female
,TONO MARIE LOUISE,Q1785816,PCT,,EPENA1,,,female
,TSALABIENDZE JOSEPH,Q327591,Independent,,MOSSENDJO,,,male
,TSATY MABIALA PASCAL,Q3550401,UPADS,,LOUDIMA,,,male
,TSEKE MOUKILA JEAN,Q1785816,PCT,,KOMONO,,,male
,TSOUMOU MOUKASSA ADRIEN,Q3550401,UPADS,,BAMBAMA,,,male
,ZONIABA AYIMESSONE HENRI,Q1785816,PCT,,SOUANKE,,,male
