itemLabel
ABBAS ICKOULA Prosper
ANDJEMBA Michel
BATINA Auguste
BOTOKA Emilienne
BOUAKA Jules
BOUNKOULOU Benjamin
EKOUNDZOLA Jean Roger
EDJAKA Démontes Dominique
GAKOSSO Edouard
GOLENGO Micheline
GONDZIA Alphonse
IKONGO LOGAN André
LEKAKA François
LEKOYI Dominique
MANGUESSA-FALANGA Charles Germain
MAKAYA Bernard
MAKAYA Robert
MBIKA-WOLO Hilaire
MOUASSI POSSO MACKONGUY Pascal
MOUFOUMA-OKIA Marcel
MOUTOU-BAYONNE Joséphine
NGOLO Evah Yvonne Qohéleth
NGOUONIMBANCZARY Simon Pierre
NTSIETE Dominique
NZAMBILA Gabriel
OBA Gaston
OBILI Gaston David
ONDONDA Alphonsine
SOMBO Emile Donald
SONGO Aloïse
INDZOUNGOU-MASSANGA Zély Pierre
MAPENGO NGANONGO Joseph Valéry
NOUMAZALAY Ambroise Edouard
ALOKA Dominique
BAYONNE Bernadette
BISSILA Martin
BOUANGA TATY Jean Pierre
ECKOMBAND Céline Claudette
ENGOUALE Jean Pierre
FOUANA-NGOUBILI Thérèse
FOUTY-SOUNGOU Philomène
IBINDA Clobert
ISSANGA Bernard
KANGA René
LONONGO Edouard
MADZOU PAUL
MBERI Albert
MBILO Victor
MIKOLO-KINZOUNZI Justin
MOUSSOUNGANA-YANDINGA Antoinette
MOVANIA Emmanuel
NONAULT Jean Pierre
NZE Pierre
NDJILA Michel
OBAMI ITOU André
OLONGUINDZELE Basile
PANDET Zacharie
TONDO Gilbert
TSATSA Dionnaire
ZOUMBILA GOMA Gabrie
