departement,areaLabel,itemLabel,partyLabel
DEPARTEMENT DE BRAZZAVILLE,Makélékélé 1,Kolélas Euloge Landry,MCDDI
DEPARTEMENT DE BRAZZAVILLE,Makélékélé 2,Badiabo Joseph,MCDDI
DEPARTEMENT DE BRAZZAVILLE,Makélékélé 3,Mouyecket Rodrigue Arsène,MCDDI
DEPARTEMENT DE BRAZZAVILLE,Makélékélé 4,Pandou Anicet,indépendant
DEPARTEMENT DE BRAZZAVILLE,Makélékélé 5,Diatoulou Prosper,MCDDI
DEPARTEMENT DE BRAZZAVILLE,Bacongo 1,Bouétoubassa Prosper,MCDDI
DEPARTEMENT DE BRAZZAVILLE,Bacongo 2,N'Silou Claude Alphonse,RC
DEPARTEMENT DE BRAZZAVILLE,Poto-Poto 1,KOURISSA Jean De Dieu,PCT
DEPARTEMENT DE BRAZZAVILLE,Poto-Poto 2,Mme Opimbat née Mboundza-Moké Charlotte,FDN
DEPARTEMENT DE BRAZZAVILLE,Poto-Poto 3,Ndenguet Atiki Alexandre,PCT
DEPARTEMENT DE BRAZZAVILLE,Moungali 1,Moussodia Jean Bernard,MCDDI
DEPARTEMENT DE BRAZZAVILLE,Moungali 2,Ngouelondele Hugues,Indépendant
DEPARTEMENT DE BRAZZAVILLE,Moungali 3,Moussodia Jean Didier Médard,Indépendant
DEPARTEMENT DE BRAZZAVILLE,Ouenze 1,Ngolo Pierre,PCT
DEPARTEMENT DE BRAZZAVILLE,Ouenze 2,Bouya Serge César,Indépendant
DEPARTEMENT DE BRAZZAVILLE,Ouenze 3,Mouleké Henri,UP
DEPARTEMENT DE BRAZZAVILLE,Ouenze 4,Basseyla Dominique,UDR - Mwinda
DEPARTEMENT DE BRAZZAVILLE,Talangaï 1,Ingani Hyacinthe,PCT
DEPARTEMENT DE BRAZZAVILLE,Talangaï 2,Ibovi Jean-Claude,MDP
DEPARTEMENT DE BRAZZAVILLE,Talangaï 3,Ossiala Sylvestre,PCT
DEPARTEMENT DE BRAZZAVILLE,Talangaï 4,Elenga Faustin,PCT
DEPARTEMENT DE BRAZZAVILLE,Talangaï 5,Oba René Serge Blanchard,MSD
DEPARTEMENT DE BRAZZAVILLE,Talangaï 6,Kidzie Hilaire Epiphane,PCT
DEPARTEMENT DE BRAZZAVILLE,Mfilou 1,Moungalla Thierry,Indépendant
DEPARTEMENT DE BRAZZAVILLE,Mfilou 2,Ganongo Olou Antoinette,PCT
DÉPARTEMENT DE POINTE-NOIRE,Mvou Mvou1,Thystère Tchicaya Jean-Pierre,RDPS
DÉPARTEMENT DE POINTE-NOIRE,M'Vouvou 2,M'Findi Victor,GEM
DÉPARTEMENT DE POINTE-NOIRE,Lumumba 1,Potignon née Ngondo Micheline,Indépendante
DÉPARTEMENT DE POINTE-NOIRE,Lumumba 2,Loemba Jean Toussaint,Club 2002-PUR
DÉPARTEMENT DE POINTE-NOIRE,Lumumba 3,Mavoungou Maurice,Indépendant
DÉPARTEMENT DE POINTE-NOIRE,Tsié-Tsié 1,Kodia Ken Gaetan,APC
DÉPARTEMENT DE POINTE-NOIRE,Tsié-Tsié 2,Kitombo Ndoko Alphonse,PCT
DÉPARTEMENT DE POINTE-NOIRE,Tsié-Tsié 3,Bayakissa Ambroise,PCT
DÉPARTEMENT DE POINTE-NOIRE,Loandjili 1,Legernare Jean Alexis,PCT
DÉPARTEMENT DE POINTE-NOIRE,Loandjili 2,Loukoulou Mathias Raymond,RDPS
DÉPARTEMENT DE POINTE-NOIRE,Loandjili 3,Milandou Claude Abraham,PCT
DÉPARTEMENT DU KOUILOU,Madingo Kayes,Tengo Laurent,MAR
DÉPARTEMENT DU KOUILOU,Mvouti 1,Bongo Jean Richard,Indépendant
DÉPARTEMENT DU KOUILOU,Mvouti 2,Coussoud-Mavoungou P.A.M,PCT
DÉPARTEMENT DU KOUILOU,Hinda 1,Oba née Loemba Sauthat Lucie,PCT
DÉPARTEMENT DU KOUILOU,Hinda 2,Bouiti-Viaudo,MAR
DÉPARTEMENT DU KOUILOU,Tchiamba-Nzassi,Taty-Loutard J.B.,MAR
DÉPARTEMENT DU KOUILOU,Kakamoeka,Makaya Zassi Darius,MAR
DÉPARTEMENT DU KOUILOU,Nzambi,Bongo Mavoungou Raymond,PCT
DÉPARTEMENT DU NIARI,Moungoundou Nord,Kadia Patrice,UPADS
DÉPARTEMENT DU NIARI,Yaya,Ouosso Emille,MAR
DÉPARTEMENT DU NIARI,Mayoko,Siapa Ivoulloungou Jean Claude,UPADS
DÉPARTEMENT DU NIARI,Mossendjo,Nguelet Lamyr,Indépendant
DÉPARTEMENT DU NIARI,Moutamba,Mvoungou Ngot Jean Michel,PCT
DÉPARTEMENT DU NIARI,Louvakou,Boussoukou Auguste,UPADS
DÉPARTEMENT DU NIARI,Divénié,Nkouka née Manganga-Yongo Mariane,Indépendante
DÉPARTEMENT DU NIARI,Londela Kayes,Louzitou André Fortuné,PCT
DÉPARTEMENT DU NIARI,Mbinda,Leouobo Marcel,Indépendant
DÉPARTEMENT DU NIARI,Makabana,Nimi MadingoU,UPADS
DÉPARTEMENT DU NIARI,Nianga,Ondaye née Mapessi-Tsona Bernadette,Indépendante
DÉPARTEMENT DU NIARI,Kibangou,Ignoumba Serge Victor,Indépendant
DÉPARTEMENT DU NIARI,Banda,Koumba Justin,PCT
DÉPARTEMENT DU NIARI,Kimongo,Mahoungou Massila Bernard,Indépendant
DÉPARTEMENT DU NIARI,Moungoundou Sud,Mboyi Daniel,UPADS
DÉPARTEMENT DU NIARI,DOLISIE 1,NGUIMBI Piere Michel,PCT
DÉPARTEMENT DU NIARI,Dolisie 2,Mouanda Jean Claude,Indépendant
DÉPARTEMENT DE LA BOUENZA,Loudima,Tsaty-Mabiala Pascal,UPADS
DÉPARTEMENT DE LA BOUENZA,Kayes,Bidimbou Michel,UR
DÉPARTEMENT DE LA BOUENZA,Mfouati,Kollo Laurent,Indépendant
DÉPARTEMENT DE LA BOUENZA,Nkayi,Mabonzo Emile,Indépendant
