@@,item,itemlabel,position,positionlabel,startdate,enddate,psid
->,Q7299001,Raymond Mboulou->Raymond Zéphirin Mboulou,Q112320686,Minister of Interior->Ministre de la Sécurité et de l’Ordre Public,2017-08-22,,Q7299001-D5376067-EAE1-4178-AEBB-6D9DE1A19198
->,Q7192339,Pierre Mabiala,Q112320690,Minister of Land->Ministre d'Etat des Affaires foncières et du Domaine public,2017-08-22,,Q7192339-008C1F91-724F-4CDE-A4BB-CC1C46CB254D
->,Q6169352,Jean-Jacques Bouya,Q112320702,Minister of Regional Planning->Ministre de l’Aménagement du territoire des infrastructures et de l’entretien routier,2012-09-25,,Q6169352-554AEABB-EA91-4A4E-8991-9E7BA93B9AA9
->,Q59676765,Dieudonné Moyongo->Dieudonné Mouyongo,Q112315782,Minister of Culture and Arts->Ministre de la Culture et des Arts,2017-08-22,,Q59676765-7D9704F5-63DF-40F9-AA3C-E110538C53C9
->,Q57464277,Nicéphore Fylla de Saint-Eudes,Q112320669,Minister of Education->Ministre du développement Industriel et de la promotion du secteur privé,2016-04-30,,Q57464277-B3CADC4D-23D1-4A44-AEE6-AD703FE1B0DC
->,Q55807584,Josué Rodrigue Ngouonimba,Q112320662,"Minister of Construction->Ministre de la Construction, de l’Urbanisme et de l’Habitat",2017-08-22,,Q55807584-20E6607E-05FE-42AD-A868-56C016EB5310
->,Q5452128,Firmin Ayessa,Q112320732,"Vice-Prime Minister->Ministre d'Etat de la fonction publique, du travail et de la sécurité sociale",2017-08-22,,Q5452128-9B8BB2E3-57B9-41AE-9942-6E92DADF8D63
->,Q5128679,Claude Alphonse Nsilou,Q112320660,"Minister of Commerce->Ministre d'Etat du Commerce, des Approvisionnements et de la Consommation",2017-08-22,,Q5128679-3BA3C8EF-5A6E-42F0-851F-EE2528EA86AC
->,Q5082018,Charles Richard Mondjo,Q112320695,Minister of National Defence->Ministre de la Défense nationale,2012-09-25,,Q5082018-76A79DDA-D4BF-4136-852D-F0E70F849D8E
->,Q50379869,Aimé Ange Wilfrid Bininga,Q112320688,"Minister of Justice->Ministre de la Justice, des Droits humains et de la Promotion des peuples autochtones",2017-08-22,,Q50379869-147FD2FF-EB15-4553-B6E2-CB0C3936D543
->,Q4979263,Bruno Itoua,Q112320677,Minister of Higher Education->Ministre des Hydrocarbures,2016-04-30,,Q4979263-562799E0-D5EC-4DB8-ADD2-182B12C3A030
->,Q48778190,Destinée Ermela Doukaga->Destinée Doukaga,Q112320657,Minister of Civic Education->Ministre du Tourisme et des loisirs,2016-04-30,,Q48778190-B1BC49C8-8128-43D1-9A67-F9AC1CA781F7
->,Q40770924,Léon Juste Ibombo,Q112320698,"Minister of Posts and Telecommunications->Ministre des Postes, des Télécommunications et de l’Économie numérique",2016-04-30,,Q40770924-9CDD3709-0E85-4FDC-B605-13324A15867A
->,Q3386464,Pierre Oba,Q112320693,Minister of Mines->Ministre d'Etat des Industries minières et de la Géologie,2005-01-07,,Q3386464-078570BE-196F-4238-8436-3A7031E6632E
->,Q33026718,Gilbert Mokoki,Q112320711,Minister of Special Economic Zones->Ministre de la Santé et de la Population,2017-08-22,,Q33026718-3D53D8B1-EAD7-407F-88AC-97283D9DF776
->,Q3142653,Hugues Ngouelondélé->Hugues Ngouélondélé,Q112320713,"Minister of Sports->Ministre de la jeunesse et des Sports et de l’Éducation civique, de la formation qualifiante et de l’emploi",2017-08-22,,Q3142653-F597FBAB-2DFA-406C-9D5D-761E0C4F0CB0
->,Q26689539,Jean-Marc Thystère-Tchicaya,Q112320678,"Minister of Hydrocarbons->Ministre des transports, de l’Aviation civile et de la marine marchande",2015-08-11,,Q26689539-F6D3A606-1204-4577-AD0D-6CECE1AF5F47
