item,itemLabel,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q112659726,Abassikoula Prosper,Q1785816,Congolese Party of Labour,,,2002-07-11,2008-08-05,,Q112659726-7ABB8C79-8190-4A9F-BE19-DCC3ECAFE8F9
Q112570905,Aloka Dominique,Q1785816,Congolese Party of Labour,,,2002-07-11,2008-08-05,,Q112570905-850A5AF6-467F-44E8-AB69-55C5D7CAE5AB
Q112659727,Andzemba Michel,,,,,2002-07-11,2008-08-05,,Q112659727-CB6BE63E-D6D0-4BEF-A4CF-E917E52CA8EC
Q112659729,Batsela Auguste,Q1785816,Congolese Party of Labour,,,2002-07-11,2008-08-05,,Q112659729-EBD34933-8572-4B2D-AE7F-27706C5513F8
Q112659730,Bayonne Bernadette,Q1785816,Congolese Party of Labour,,,2002-07-11,2008-08-05,,Q112659730-53D32094-8A17-472E-9497-C619C9B0BEF4
Q112659731,Bissila Martin,,,,,2002-07-11,2008-08-05,,Q112659731-931FAA71-CA4F-40F5-A62A-97552263F971
Q112659732,Botoka Emilienne,Q1785816,Congolese Party of Labour,,,2002-07-11,2008-08-05,,Q112659732-0EDBC7B6-1789-44DF-AE73-4E27EBA23032
Q112659733,Bouanga Taty Jean Pierre,,,,,2002-07-11,2008-08-05,,Q112659733-DE70C6A6-6EA9-452A-BD22-00A70C0A4568
Q112659734,Boukoulou Benjamin,,,,,2002-07-11,2008-08-05,,Q112659734-42B71B20-091A-4254-B84C-FF90E08C2B64
Q5202477,Eckomband Céline,Q1785816,Congolese Party of Labour,,,2002,2005,female,Q5202477-13cfc1f1-4776-572a-cda8-db20864a5e4b
Q112659735,Ekounzola Roger,Q1785816,Congolese Party of Labour,,,2002-07-11,2008-08-05,,Q112659735-E332C975-81DA-4A34-88D8-28F0F43DC39B
Q112659736,Engouali Jean Pierre,,,,,2002-07-11,2008-08-05,,Q112659736-9221827C-6811-46EF-BBF6-FDEC1BA7C840
Q112659737,Ezaka Demonteis,Q1785816,Congolese Party of Labour,,,2002-07-11,2008-08-05,,Q112659737-93C126BB-7D98-4092-8875-AAA86191D8A3
Q112660498,Fouana-Ngoubili Thérèse,,,,,2002-07-11,2008-08-05,,Q112660498-0E6672D1-9D76-4756-BC30-7609803503EA
Q112659738,Fouty Soungou Philomène,Q1785816,Congolese Party of Labour,,,2002-07-11,2008-08-05,,Q112659738-15895715-97C3-471B-8790-C170C755A0D2
Q97036793,Golengo Micheline,Q1785816,Congolese Party of Labour,,,2002-07-11,2008-08-05,female,Q97036793-92780D91-9669-4E19-8921-0E76BDD3B022
Q4735363,Gondzia Alphonse,Q1785816,Congolese Party of Labour,,,2002-07-11,2008-08-05,male,Q4735363-BB2AB60E-6DD2-436B-BECB-4DCC09CF44B1
Q112570904,Ibinda Clobert,,,,,2002-07-11,2008-08-05,,Q112570904-8FDA1AC4-4D6E-42A2-9AAE-FFB3BAD66060
Q112659739,Ikongo Logan,Q1785816,Congolese Party of Labour,,,2002-07-11,2008-08-05,,Q112659739-C317A5F1-E1A8-4236-A573-802A0EE4F714
Q112659740,Issanga Bernard,,,,,2002-07-11,2008-08-05,,Q112659740-E6E8D12A-7A94-4E44-99FB-101471C67B81
Q112659741,Izoungout Massanga Nzely Pierre,,,,,2002-07-11,2008-08-05,,Q112659741-1B444441-1533-482E-9405-0853F691EA36
