pageid,title
158608,Denis Sassou Nguesso
906485,Rodolphe Adada
2586063,Pierre Oba
9973863,Bruno Itoua
19876530,Firmin Ayessa
19908688,Raymond Mboulou
20050384,Claude Alphonse Nsilou
20161245,Jean-Claude Gakosso
20553945,Hugues Ngouelondélé
30369901,Denis-Christel Sassou Nguesso
31370455,Pierre Mabiala
33389666,Anatole Collinet Makosso
33495513,Jean-Jacques Bouya
37204104,Charles Richard Mondjo
50166905,Rigobert Roger Andely
55718639,Arlette Soudan-Nonault
55792857,Jacqueline Lydia Mikolo
55874705,Rosalie Matondo
55874793,Ingrid Ebouka-Babackas
66717715,Destinée Doukaga
66988953,Inès Nefer Bertille Ingani
