ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q56304825,Mvouba government,2005-01-07,11,,,2007-03-03,11,,,,,,,,,,
,Q28499963,Sassou-Nguesso government,2015-08-10,11,,,2016-04-30,11,,,,,,,,,,
,Q27523123,1st Mouamba government,2016-04-30,11,,,2017-08-16,11,,,,,,,,,,
,Q38284416,2nd Mouamba Government,2017-08-22,11,,,2021-05-04,11,,,,,,,,,,
,Q109037591,Makosso government,2021-05-15,11,,,,,,,,,,,,,,
