@@,item,itemlabel,position,positionlabel,startdate,enddate,psid
->,Q7299001,Raymond Mboulou->Raymond Zéphirin Mboulou,Q112320719,Minister of Territory Administration->Ministre de l'intérieur et de la décentralisation,2007-12-30,2016-04-30,Q7299001-D63204C0-3940-41F3-B170-55F6680E8724
->,Q7192339,Pierre Mabiala,Q112320690,Minister of Land->Ministre des affaires foncières et du domaine public,2009-09-15,2016-04-30,Q7192339-B8FB64B4-2431-4CB6-8497-19F3C50953FB
->,Q6711024,Léon-Alfred Opimbat,Q112320713,Minister of Sports->Ministre des sports et de l'éducation physique,2011-08-17,2017-08-22,Q6711024-4FE462E4-FFCD-4EC2-B4D7-D39F9C4B3CFC
->,Q6169352,Jean-Jacques Bouya,Q112320702,Minister of Regional Planning->Ministre à la Présidence de la République chargé de l'aménagement du territoire et de la délégation générale aux grands travaux,2012-09-25,2021-05-04,Q6169352-554AEABB-EA91-4A4E-8991-9E7BA93B9AA9
->,Q57890,Isidore Mvouba,Q112320681,Minister of Industrial Development->Ministre du développement industriel et de la promotion du secteur privé,2012-09-25,2016-04-30,Q57890-CA589994-7A27-43D6-9E7A-22BA65CFB8A6
->,Q57418,Denis Sassou-Nguesso,Q10353660,President of the Republic of the Congo->Président de la République et chef du Gouvernement,1997-10-25,,Q57418-72740888-9C7D-4811-B6A6-DCD7827507B5
->,Q5715430,Henri Djombo,Q112320715,Minister of Sustainable Development->Ministre de l'économie forestière et du développement durable,2012-09-25,2016-04-30,Q5715430-838B101F-3414-480A-8B80-B667CC8A968D
->,Q55807584,Josué Rodrigue Ngouonimba,Q112320720,Minister of Tourism->Ministre du tourisme et de l'environnement,2012-09-25,2016-04-30,Q55807584-40AA7064-9CAC-4334-AB9B-6075DD92D415
->,Q5493295,François Ibovi,Q98966140,Health minister of the Republic of the Congo->Ministre de la santé et de la population,2012-09-25,2016-04-30,Q5493295-ba502fa7-4570-88d4-db08-731426da6d55
->,Q5460873,Florent Ntsiba,Q112320689,Minister of Labour->Ministre du travail et de la sécurité sociale,2009-09-15,2016-04-30,Q5460873-E15BC9D9-DDFF-47EF-BA0C-FD774F926C08
->,Q5409443,Euloge Landry Kolélas,Q112320660,Minister of Commerce->Ministre du commerce et des approvisionnements,2015-08-11,2017-08-22,Q5409443-AA6C2D16-AACD-4ABB-AA26-1D3E68B55166
->,Q5371792,Emilienne Raoul->Émilienne Raoul,Q112320708,"Minister of Social Affairs->Ministre des affaires sociales, de l'action humanitaire et de la solidarité",2009-09-15,2016-04-30,Q5371792-7B35EE3A-5F7C-41D3-B0FC-563B56E7926D
->,Q5128679,Claude Alphonse Nsilou,Q112320662,"Minister of Construction->Ministre de la construction, de l'urbanisme et de l'habitat",2002-08-18,2017-08-22,Q5128679-005E4325-67BC-4663-945D-58EA023CCA79
->,Q5082018,Charles Richard Mondjo,Q112320695,Minister of National Defence->Ministre à la Présidence de la République chargé de la défense nationale,2012-09-25,,Q5082018-76A79DDA-D4BF-4136-852D-F0E70F849D8E
->,Q4979263,Bruno Itoua,Q112320703,Minister of Scientific Research->Ministre de la recherche scientifique et de l'innovation technologique,2011-12-13,2016-04-30,Q4979263-424207B5-F2DE-4E62-945C-582978DEC412
->,Q4893697,Bernard Tchibambelela->Bernard Tchibambéléla,Q112320674,Minister of Fishing->Ministre de la pêche et de l'aquaculture,2012-09-25,2016-04-30,Q4893697-B512F271-F1E6-4815-A406-D57520A21598
->,Q4697192,Aimé Emmanuel Yoka,Q112320688,"Minister of Justice->Garde des sceaux, ministre de la justice, des droits humains et de la réforme de l’État",2007-03-03,2016-04-30,Q4697192-2929ABF0-D148-43D5-8FDF-A256877D41D6
->,Q4686987,Adélaïde Moundélé-Ngollo->Yvonne-Adélaïde Mougany,Q112320707,"Minister of Small and Medium Enterprises and Handicrafts->Ministre des petites, moyennes entreprises et de l'artisanat",2007-12-30,2021-05-15,Q4686987-3A533C50-A061-49DF-93EC-50FEF1F129FE
->,Q3438286,Rodolphe Adada,Q112320723,Minister of Transport->Ministre des transports et de l'aviation civile,2012-09-25,2016-04-30,Q3438286-B7B89EF5-A823-4ECF-992B-6DEA7D204074
